question,possible_answers,subject,predicate,object,object_surfaceform,triple,sub_pred,subject_label,predicate_label,object_label
"What is the color of I, Grandmother, Iliko and Illarion?","[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q4535641,P462,Q838368,black-and-white,Q4535641 P462 Q838368,Q4535641 P462,"I, Grandmother, Iliko and Illarion",color,black and white
"What genre is the 1986 single ""Fallin' for You for Years"" by Conway Twitty?","[""country & western"", ""country and western"", ""Nashville sound"", ""country music"", ""country""]",Q5432274,P136,Q83440,country music,Q5432274 P136 Q83440,Q5432274 P136,Fallin' for You for Years,genre,country music
What organization is responsible for publishing The Wallace Stevens Journal?,"[""The Johns Hopkins University Press"", ""JHU Press"", ""Johns Hopkins University Press"", ""Publication Agency of the Johns Hopkins University""]",Q7773330,P123,Q1645059,Johns Hopkins University Press,Q7773330 P123 Q1645059,Q7773330 P123,The Wallace Stevens Journal,publisher,Johns Hopkins University Press
Who was Checheyikhen's mother?,"[""B\u00f6rte""]",Q7199764,P25,Q234805,Börte,Q7199764 P25 Q234805,Q7199764 P25,Checheyikhen,mother,Börte
"What is the name of the director of the film ""Tailcoat for shalopaya""?","[""Eldor Urazbayev"", ""Eldor Magomatovich Urazbayev"", ""Eldor Urazbaev""]",Q4492316,P57,Q4476575,Eldor Urazbaev,Q4492316 P57 Q4476575,Q4492316 P57,Tailcoat for shalopaya,director,Eldor Urazbayev
What sport is Anatoli Viktorovich Ivanov associated with?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q4752128,P641,Q2736,football,Q4752128 P641 Q2736,Q4752128 P641,Anatoli Viktorovich Ivanov,sport,association football
What is the color of El mejor tesoro?,"[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q60738359,P462,Q838368,black and white film,Q60738359 P462 Q838368,Q60738359 P462,El mejor tesoro,color,black and white
What is the architectural style of John T. Hash House?,"[""Arts and crafts movement"", ""Craftsman"", ""American Craftsman""]",Q6260002,P149,Q463382,Craftsman,Q6260002 P149 Q463382,Q6260002 P149,John T. Hash House,architectural style,American Craftsman
What is the architectural style of Fairbanks City Hall?,"[""Art-deco"", ""Art Deco"", ""Art decostijl"", ""Art-d\u00e9co"", ""Art d\u00e9co""]",Q19868022,P149,Q173782,Art Deco,Q19868022 P149 Q173782,Q19868022 P149,Fairbanks City Hall,architectural style,Art Deco
What is the format of the Polish television series More Than Life at Stake?,"[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q961,P462,Q838368,black and white,Q961 P462 Q838368,Q961 P462,More Than Life at Stake,color,black and white
What sport did Jack Scarry participate in?,"[""basket ball"", ""b-ball"", ""basketball"", ""Basketball"", ""hoops"", ""BB""]",Q23688917,P641,Q5372,basketball,Q23688917 P641 Q5372,Q23688917 P641,Jack Scarry,sport,basketball
What country is Pennine Radio Limited located in?,"[""G. B."", ""United Kingdom"", ""Great Britain"", ""U K"", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland"", ""U. K."", ""G.B."", ""\ud83c\uddec\ud83c\udde7"", ""UK"", ""GBR"", ""G B"", ""GB"", ""G.B.R."", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K.""]",Q7163446,P17,Q145,UK,Q7163446 P17 Q145,Q7163446 P17,Pennine Radio Limited,country,United Kingdom
Who composed Le shérif?,"[""Jacques Fran\u00e7ois Elias Hal\u00e9vy"", ""Fromental Hal\u00e9vy"", ""Fromental Halevy""]",Q20670752,P86,Q313917,Fromental Halévy,Q20670752 P86 Q313917,Q20670752 P86,Le shérif,composer,Fromental Halévy
What is the administrative center of Nizhny Tsasuchey?,"["""", ""Ononsky District""]",Q4319209,P1376,Q1655192,Ononsky District,Q4319209 P1376 Q1655192,Q4319209 P1376,Nizhny Tsasuchey,capital of,Ononsky District
Who was the father of Martin Heidenhain?,"[""Rudolf Peter Heinrich Heidenhain"", ""Rudolf Heidenhain""]",Q75087,P22,Q75917,Rudolf Heidenhain,Q75087 P22 Q75917,Q75087 P22,Martin Heidenhain,father,Rudolf Heidenhain
What genre is Ebba the Movie?,"[""motion picture documentary"", ""doc"", ""documentary film"", ""documentary"", ""documentary movie"", ""factual film"", ""film documentary""]",Q5331526,P136,Q93204,documentary film,Q5331526 P136 Q93204,Q5331526 P136,Ebba the Movie,genre,documentary film
What specific industry is the Compagnie des chemins de fer de Paris à Lyon et à la Méditerranée involved in?,"[""rail transport"", ""railroading"", ""railroad transport"", ""railway"", ""transport by rail"", ""railway transport"", ""train transport"", ""train transportation""]",Q1121154,P452,Q3565868,railway,Q1121154 P452 Q3565868,Q1121154 P452,Compagnie des chemins de fer de Paris à Lyon et à la Méditerranée,industry,rail transport
What was the name of Paolo II Vitelli's mother?,"[""Angela de' Rossi""]",Q3894151,P25,Q3616790,Angela de' Rossi,Q3894151 P25 Q3616790,Q3894151 P25,Paolo II Vitelli,mother,Angela de' Rossi
What country is St Francis Grammar School located in?,"[""\ud83c\uddf5\ud83c\uddf0"", ""PAK"", ""pk"", ""Pakistan"", ""Islamic Republic of Pakistan""]",Q7593083,P17,Q843,Pakistan,Q7593083 P17 Q843,Q7593083 P17,St Francis Grammar School,country,Pakistan
What country recognizes Chris Brandt as its citizen?,"[""the US"", ""the States"", ""U. S."", ""America"", ""the United States"", ""American"", ""US of A"", ""U. S. A."", ""United States of America"", ""US"", ""U.S"", ""U.S."", ""the USA"", ""'Merica"", ""U.S.A."", ""USA"", ""'Murica"", ""United States"", ""the U.S."", ""the United States of America""]",Q5105960,P27,Q30,American,Q5105960 P27 Q30,Q5105960 P27,Chris Brandt,country of citizenship,United States of America
What is Oruno Denis Lara's relative?,"[""Oruno Lara"", ""Hildevert-Adolphe Lara""]",Q18917889,P1038,Q19668694,Oruno Lara,Q18917889 P1038 Q19668694,Q18917889 P1038,Oruno Denis Lara,relative,Oruno Lara
Where did Javier Rivera Aquino receive his education?,"[""osu.edu"", ""Ohio Agricultural and Mechanical College"", ""Ohio State"", ""Ohio State University"", ""The Ohio State University"", ""OSU""]",Q6165690,P69,Q309331,Ohio State University,Q6165690 P69 Q309331,Q6165690 P69,Javier Rivera Aquino,educated at,Ohio State University
Who is a character in The Saint and the Templar Treasure?,"[""Saint"", ""The Saint"", ""Simon Templar""]",Q7762082,P674,Q388271,Simon Templar,Q7762082 P674 Q388271,Q7762082 P674,The Saint and the Templar Treasure,characters,Simon Templar
What medical condition did Sammi Fajarowicz die from?,"[""tuberculosis"", ""Tuberculosis"", ""In the clinic. Tuberculosis"", ""phthisis"", ""hydrothorax"", ""phthisis pulmonalis"", ""TB"", ""phtisis"", ""consumption""]",Q112004,P1050,Q12204,tuberculosis,Q112004 P1050 Q12204,Q112004 P1050,Sammi Fajarowicz,medical condition,tuberculosis
"What channel, network, website or service broadcasted the 2014 MuchMusic Video Awards?","[""Much"", ""Comedy Central Canada (Comedy Central shows only)"", ""MuchMusic"", ""MTV Canada (MTV shows only)""]",Q16958257,P3301,Q1857828,Much,Q16958257 P3301 Q1857828,Q16958257 P3301,2014 MuchMusic Video Awards,broadcast by,Much
What color was Roekihati?,"[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q7357577,P462,Q838368,black-and-white,Q7357577 P462 Q838368,Q7357577 P462,Roekihati,color,black and white
Who composed the opera Polixène?,"[""Antoine Dauvergne"", ""Antoine D'Auvergne""]",Q17064625,P86,Q586017,Antoine Dauvergne,Q17064625 P86 Q586017,Q17064625 P86,Polixène,composer,Antoine Dauvergne
"What genre is the album ""Control Me"" by The Forgotten?","[""punk music"", ""punk rock"", ""punk""]",Q28452370,P136,Q3071,punk rock,Q28452370 P136 Q3071,Q28452370 P136,Control Me,genre,punk rock
Who was Wilhelmina FitzClarence's mother?,"[""Lady Augusta Gordon"", ""Lady Augusta FitzClarence"", ""Augusta FitzClarence Kennedy-Erskine""]",Q15873685,P25,Q15873212,Lady Augusta FitzClarence,Q15873685 P25 Q15873212,Q15873685 P25,Wilhelmina FitzClarence,mother,Augusta FitzClarence Kennedy-Erskine
What sport is Sann Myint associated with?,"[""Olympic weightlifting"", ""weightlifting"", ""lifting"", ""weightlifter""]",Q82538786,P641,Q83462,weightlifter,Q82538786 P641 Q83462,Q82538786 P641,Sann Myint,sport,weightlifting
Who was Stephen V. Cameron's doctoral advisor?,"[""James Heckman"", ""James Joseph Heckman""]",Q19404124,P184,Q312561,James Heckman,Q19404124 P184 Q312561,Q19404124 P184,Stephen V. Cameron,doctoral advisor,James Heckman
What sport does Taylor Sloat participate in?,"[""American football"", ""football"", ""American rules football"", ""\ud83c\udfc8"", ""gridiron football""]",Q18753809,P641,Q41323,American football,Q18753809 P641 Q41323,Q18753809 P641,Taylor Sloat,sport,American football
What language is CFJU-FM broadcasting in?,"[""fr"", ""French language"", ""fra"", ""French"", ""(fr)""]",Q2931350,P2936,Q150,French language,Q2931350 P2936 Q150,Q2931350 P2936,CFJU-FM,language used,French
What is the architectural style of Selma Terrace?,"[""Prairie School architecture"", ""Prairie School""]",Q85800318,P149,Q616358,Prairie School,Q85800318 P149 Q616358,Q85800318 P149,Selma Terrace,architectural style,Prairie School architecture
What sport does Phang Poh Meng participate in?,"[""field hockey"", ""hockey""]",Q70000290,P641,Q1455,field hockey,Q70000290 P641 Q1455,Q70000290 P641,Phang Poh Meng,sport,field hockey
What sport is Everett Dunklee associated with?,"[""cross-country skiing"", ""cross-country skier"", ""XC skiing""]",Q1381988,P641,Q179687,cross-country skier,Q1381988 P641 Q179687,Q1381988 P641,Everett Dunklee,sport,cross-country skiing
Who was Maurice Meslans' doctoral advisor?,"[""Henri Moissan"", ""Ferdinand Frederick Henri Moissan""]",Q3301167,P184,Q102804,Henri Moissan,Q3301167 P184 Q102804,Q3301167 P184,Maurice Meslans,doctoral advisor,Henri Moissan
What country recognizes Juris Strenga as its citizen?,"[""\ud83c\uddf1\ud83c\uddfb"", ""U.S.S.R"", ""Soviets"", ""Latvija"", ""CCCP"", ""SU"", ""LAT"", ""Union of Soviet Socialist Republics"", ""the Union of Soviet Socialist Republics"", ""The Soviets"", ""LVA"", ""Soviet Union"", ""USSR"", ""Latvia"", ""U.S.S.R."", ""lv"", ""Republic of Latvia"", ""Latvian Republic"", ""the Soviet Union""]",Q4443874,P27,Q211,Latvia,Q4443874 P27 Q211,Q4443874 P27,Juris Strenga,country of citizenship,Latvia
What is the architectural style of the Edwards-Fowler House?,"[""Federal-style architecture"", ""Federal style"", ""Federal-style"", ""Federal architecture""]",Q20708908,P149,Q1400086,Federal-style,Q20708908 P149 Q1400086,Q20708908 P149,Edwards-Fowler House,architectural style,Federal architecture
Who was the father of Munio Vélaz?,"[""Vela Jim\u00e9nez"", ""Vela Jimenez""]",Q1218342,P22,Q1230043,Vela Jiménez,Q1218342 P22 Q1230043,Q1218342 P22,Munio Vélaz,father,Vela Jiménez
Who was the doctoral advisor of Alexander Borovkov?,"[""Andrey Kolmogoroff"", ""Andrey Kolmogorov"", ""A. N. Kolmogorov"", ""Andrey Nikolaevich Kolmogorov"", ""Andrey N. Kolmogorov""]",Q4094322,P184,Q153224,Andrey Kolmogorov,Q4094322 P184 Q153224,Q4094322 P184,Alexander Borovkov,doctoral advisor,Andrey Kolmogorov
What sport does Aline Fobe participate in?,"[""field hockey"", ""hockey""]",Q23465878,P641,Q1455,field hockey,Q23465878 P641 Q1455,Q23465878 P641,Aline Fobe,sport,field hockey
What is the type of kinship between Túpac Amara?,"[""Jos\u00e9 Gabriel Condorcanqui Noguera"", ""Jos\u00e9 Gabriel Tupac-Amaru"", ""Jos\u00e9 Gabriel Condorcanqui"", ""T\u00fapac Amaru II"", ""Jos\u00e9 Gabriel T\u00fapac Amaru""]",Q296269,P1038,Q315937,Túpac Amaru II,Q296269 P1038 Q315937,Q296269 P1038,Túpac Amara,relative,Túpac Amaru II
What sport is Jadwiga Damse associated with?,"[""artificial luge olympic luge"", ""luge"", ""luge on natural track"", ""luge on artificial track"", ""natural track luge""]",Q11715867,P641,Q273285,luge,Q11715867 P641 Q273285,Q11715867 P641,Jadwiga Damse,sport,luge
What radio station broadcasts The Essential Series?,"[""Today FM""]",Q7732508,P3301,Q13157885,Today FM,Q7732508 P3301 Q13157885,Q7732508 P3301,The Essential Series,broadcast by,Today FM
What sport did Susan Thorsgaard participate in?,"[""Pallammanu"", ""European handball"", ""European team handball"", ""Olympic handball"", ""Borden ball"", ""team handball"", ""handball""]",Q460868,P641,Q8418,handball,Q460868 P641 Q8418,Q460868 P641,Susan Thorsgaard,sport,handball
"What was the name of Harriet Campbell's mother, who was a British countess?","[""Charlotte Susan Maria Campbell"", ""Lady Charlotte Susan Maria Bury"", ""the former Lady Charlotte Susan Maria Campbell"", ""Charlotte Campbell Bury"", ""Lady Charlotte Bury""]",Q53098702,P25,Q3666710,the former Lady Charlotte Susan Maria Campbell,Q53098702 P25 Q3666710,Q53098702 P25,Harriet Campbell,mother,Lady Charlotte Bury
What is the administrative center of Elchotovo?,"[""Kirovsky District"", """", ""Kirovsky District, Republic of North Ossetia\u2013Alania""]",Q119559,P1376,Q934566,Kirovsky District,Q119559 P1376 Q934566,Q119559 P1376,Elchotovo,capital of,"Kirovsky District, Republic of North Ossetia–Alania"
What is the architectural style of the Kapuāiwa Building?,"[""Italianate architecture"", ""Italianate""]",Q6367408,P149,Q615196,Italianate,Q6367408 P149 Q615196,Q6367408 P149,Kapuāiwa Building,architectural style,Italianate architecture
What is the color of El rápido de las 9.15?,"[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q18353091,P462,Q838368,black-and-white,Q18353091 P462 Q838368,Q18353091 P462,El rápido de las 9.15,color,black and white
What country recognizes Hrvoje Filipan as its citizen?,"[""HRV"", ""HR"", ""CRO"", ""Republic of Croatia"", ""Croatia"", ""\ud83c\udded\ud83c\uddf7"", ""hr""]",Q5924023,P27,Q224,Croatia,Q5924023 P27 Q224,Q5924023 P27,Hrvoje Filipan,country of citizenship,Croatia
What is the architectural style of the Emlenton Historic District?,"[""Greek Revival architecture"", ""Renaissance Revival architecture"", ""Greek Revival (architecture)"", ""Greek Revival"", ""Neostyle - neo-Greek"", ""Neo-Greek architecture"", ""Neo-Renaissance"", ""Neo-Greek""]",Q5372662,P149,Q1513688,Greek Revival,Q5372662 P149 Q1513688,Q5372662 P149,Emlenton Historic District,architectural style,Greek Revival architecture
What is Tsang Man Fai's occupation?,"[""soccer player"", ""association footballer"", ""football player"", ""association football player"", ""footballer"", ""player""]",Q7849365,P106,Q937857,footballer,Q7849365 P106 Q937857,Q7849365 P106,Tsang Man Fai,occupation,association football player
Who was the executive producer of El despertar?,"[""Ernesto Ram\u00edrez Alonso"", ""Ernesto Alonso""]",Q48770575,P1431,Q650877,Ernesto Alonso,Q48770575 P1431 Q650877,Q48770575 P1431,El despertar,executive producer,Ernesto Alonso
Who is the author of Operation Chaos?,"[""Poul William Anderson"", ""Petronius Arbiter Kingsley"", ""Poul Anderson"", ""P. A. Kingsley"", ""Winston P. Sanders"", ""A. A. Craig"", ""Michael Karageorge""]",Q3883945,P50,Q220883,Poul Anderson,Q3883945 P50 Q220883,Q3883945 P50,Operation Chaos,author,Poul Anderson
What is the color of The Man to Beat Jack Johnson?,"[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q7750122,P462,Q838368,black-and-white,Q7750122 P462 Q838368,Q7750122 P462,The Man to Beat Jack Johnson,color,black and white
What sport is Ji Deok-han associated with?,"[""competitive rowing"", ""crew"", ""rowing"", ""sport rowing"", ""rower""]",Q56222983,P641,Q159354,rower,Q56222983 P641 Q159354,Q56222983 P641,Ji Deok-han,sport,rowing
What is Eduardo Menezes' occupation?,"[""show jumper"", ""show jumping rider"", ""equestrian"", ""horse rider"", ""show jumping""]",Q26924558,P106,Q211773,show jumping,Q26924558 P106 Q211773,Q26924558 P106,Eduardo Menezes,occupation,show jumping
Who directed Re Daniel Dawal Migel 1?,"[""Roy de Silva"", ""Chathurartha Devadithya Gardiyawasam Lindamulage Roy Aloysius Felix de Silva""]",Q27089576,P57,Q27095231,Roy de Silva,Q27089576 P57 Q27095231,Q27089576 P57,Re Daniel Dawal Migel 1,director,Roy de Silva
What sport was the 2013 Ankara Cup associated with?,"[""tennis"", ""lawntennis"", ""lawn tennis""]",Q15295647,P641,Q847,tennis,Q15295647 P641 Q847,Q15295647 P641,2013 Ankara Cup,sport,tennis
What sport did Francisco Calamita participate in?,"[""swimming"", ""swimmer"", ""competitive swimming""]",Q26997673,P641,Q31920,swimmer,Q26997673 P641 Q31920,Q26997673 P641,Francisco Calamita,sport,swimming
What genre is Bicycle Madness?,"[""historic fiction"", ""historical fiction""]",Q27962860,P136,Q1196408,historical fiction,Q27962860 P136 Q1196408,Q27962860 P136,Bicycle Madness,genre,historical fiction
What sport does Christophe Martin currently play?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q514745,P641,Q2736,football,Q514745 P641 Q2736,Q514745 P641,Christophe Martin,sport,association football
What is the name of Helge Hagerup's mother?,"[""Inger Johanne Hals\u00f8r"", ""Inger Hagerup"", ""Inger Johanne Hals\u00f8r Hagerup"", ""Inger Hals\u00f8r"", ""Inger Johanne Hagerup""]",Q11128690,P25,Q263004,Inger Hagerup,Q11128690 P25 Q263004,Q11128690 P25,Helge Hagerup,mother,Inger Hagerup
What is the capital of Okny Raion?,"[""Krasni Okny"", ""Okny"", ""Fedosiivka""]",Q1188827,P36,Q1786696,Okny,Q1188827 P36 Q1786696,Q1188827 P36,Okny Raion,capital,Okny
Who composed the music for Aram Seidhu Pazhagu?,"[""D. Imman"", ""Immanuel Vasanth Dinakaran""]",Q28797350,P86,Q5203634,D. Imman,Q28797350 P86 Q5203634,Q28797350 P86,Aram Seidhu Pazhagu,composer,D. Imman
"Who was the producer of ""The Breadwinner""?","[""Stephan Roelants"", ""Thomas Moore"", ""Andrew Rosen"", ""Tomm Moore"", ""Angelina Jolie Voight"", ""St\u00e9phan Roelants"", ""Angelina Jolie"", ""Anthony Leo"", ""Paul Young""]",Q19862858,P162,Q49001511,Anthony Leo,Q19862858 P162 Q49001511,Q19862858 P162,The Breadwinner,producer,Anthony Leo
